tags: ἕρμαιον ἕρμαιον-10 conjugaison

ἐπαίδευον (2a)|j'éduquais|indicatif imperfectif passé (imparfait)|voix active|ἐ-παίδευ-ο<span class="désinence">-ν</span>||ἐ-παίδευ-ε<span class="désinence">-ς</span>||ἐ-παίδευ-ε||ἐ-παιδεύ-ο<span class="désinence">-μεν</span>||ἐ-παιδεύ-ε<span class="désinence">-τε</span>||ἐ-παίδευ-ο<span class="désinence">-ν</span>|

ἐπαιδευόμην (2mp)|j'éduquais (M), j'étais éduqué (P)|indicatif imperfectif passé (imparfait)|voix médio-passive|ἐ-παιδευ-ό<span class="désinence">-μην</span>||ἐ-παιδεύ-ου|[*-ε<span class="désinence">-σο</span>]|ἐ-παιδεύ-ε<span class="désinence">-το</span>||ἐ-παιδευ-ό<span class="désinence">-μεθᾰ</span>||ἐ-παιδεύ-ε<span class="désinence">-σθε</span>||ἐ-παιδεύ-ο<span class="désinence">-ντο</span>|


ἐτίμων (2a)|j'honorais|indicatif imperfectif passé (imparfait)|voix active|ἐτίμ-ων|[*ἐτίμα-ο<span class="désinence">-ν</span>]|ἐτίμ-ας|[*ἐτίμα-ε<span class="désinence">-ς</span>]|ἐτίμ-α|[*ἐτίμα-ε]|ἐτιμ-ῶμεν|[*ἐτιμά-ο<span class="désinence">-μεν</span>]|ἐτιμ-ᾶτε|[*ἐτιμά-ε<span class="désinence">-τε</span>]|ἐτίμ-ων|[*ἐτίμα-ο<span class="désinence">-ν</span>]

ἐτιμώμην (2mp)|j'honorais (M), j'étais honoré (P)|indicatif imperfectif passé (imparfait)|voix médio-passive|ἐτιμ-ώμην|[*ἐτιμα-ό<span class="désinence">-μην</span>]|ἐτιμ-ῶ|[*ἐτιμά-ου (-ε<span class="désinence">-σο</span>)]|ἐτιμ-ᾶτο|[*ἐτιμά-ε<span class="désinence">-το</span>]|ἐτιμ-ώμεθα|[*ἐτιμα-ό<span class="désinence">-μεθᾰ</span>]|ἐτιμ-ᾶσθε|[*ἐτιμά-ε<span class="désinence">-σθε</span>]|ἐτιμ-ῶντο|[*ἐτιμά-ο<span class="désinence">-ντο</span>]


ἐποίουν (2a)|je faisais|indicatif imperfectif passé (imparfait)|voix active|ἐποί-ουν|[*ἐποίε-ο<span class="désinence">-ν</span>]|ἐποί-εις|[*ἐποίε-ε<span class="désinence">-ς</span>]|ἐποί-ει|[*ἐποίε-ε]|ἐποι-οῦμεν|[*ἐποιέ-ο<span class="désinence">-μεν</span>]|ἐποι-εῖτε|[*ἐποιέ-ε<span class="désinence">-τε</span>]|ἐποί-ουν|[*ἐποίε-ο<span class="désinence">-ν</span>]

ἐποιούμην (2mp)|je faisais (M), j'étais fait (P)|indicatif imperfectif passé (imparfait)|voix médio-passive|ἐποι-ούμην|[*ἐποιε-ό<span class="désinence">-μην</span>]|ἐποι-οῦ|[*ἐποιέ-ου (-ε<span class="désinence">-σο</span>)]|ἐποι-εῖτο|[*ἐποιέ-ε<span class="désinence">-το</span>]|ἐποι-ούμεθα|[*ἐποιε-ό<span class="désinence">-μεθᾰ</span>]|ἐποι-εῖσθε|[*ἐποιέ-ε<span class="désinence">-σθε</span>]|ἐποι-οῦντο|[*ἐποιέ-ο<span class="désinence">-ντο</span>]


