tags: ἕρμαιον ἕρμαιον-2 vocabulaire

εἰς <span class="cas">+acc</span>|<p style="font-size: smaller;">[proclitique]</p>vers, au (destination), en vue de|<hr/>↠ <span class="régime">dans Hom. <span style="font-weight: bold">εἰς</span> seul. devant une voyelle&nbsp;; les Ioniens et les Doriens, et, parmi, les Attiques, Thucydide préfèrent <span style="font-weight: bold">ἐς</span></span>&nbsp;; ttef. en poésie εἰς se met dev. une voyelle, lorsque le mètre demande une longue&nbsp;; <span class="régime">les Tragiques et les Comiques emploient d'ord. <span style="font-weight: bold">ἐς</span> dev. une cons., <span style="font-weight: bold">εἰς</span> dev. une voy.</span>&nbsp;; ttef. chez les Trag. (non chez les Com.) ἐς se met même dev. une voy. quand le mètre demande une brève&nbsp;; <span class="régime">en prose attique, excepté chez Thucydide, <span style="font-weight: bold">εἰς</span> est la forme usuelle dev. les voy. et les cons.</span>, sauf dans les deux expressions proverb. <span class="gr">ἐς κόρακας</span> et <span class="gr">ἐς μακαρίαν</span><hr/><li class="propre">adv. et prép. <span style="font-weight: bold">dedans, dans</span>, avec idée de mouvement</li><hr/><li><span class="régime">Adv. (seul. en poésie)</span> <span style="font-weight: bold">dedans, dans</span>&nbsp;: <span class="gr">ἐς δ' ἄγε</span>, <span class="fr">et il l'attirait à l'intérieur</span> / <span class="gr">ἐς δ' ἦλθον</span>, <span class="fr">alors (les prétendants) entrèrent (litt. vinrent dedans)</span> / <span class="gr">ἐς δ' ἤϊεν</span>, <span class="fr">puis lui-même alla dedans, c. à d. rentra dans (la grande salle)</span> / <span class="gr">ἐς δ' ἐρέτας ἀγείρομεν</span>, <span class="fr">et rassemblons dedans une troupe de rameurs</span> ‖ de même, <span class="régime">au sens adv., avant un acc. dépendant d'un verbe de mouvement</span>&nbsp;: <span class="gr">τὼ δ' εἰς ἀμφοτέρω Διομήδεος ἅρματα βήτην</span>, <span class="fr">les deux héros ensemble (Diomède et Nestor) montèrent sur le char de Diomède à l'intérieur</span></li><hr/><li><span class="régime">Prép. avec l'acc.</span></li><ul style="font-size:100%"><li class="propre"><span style="font-weight: bold">dans</span></li><ul style="font-size:100%"><li><span class="régime">avec les verbes de mouvement et un acc. de lieu</span>&nbsp;: <span class="gr">νῆα ἐρύσσομεν εἰς ἅλα δῖαν</span>, <span class="fr">tirons un navire et poussons-le sur la mer divine</span> / <span class="gr">ἐμϐαλοῦ μ' εἰς ἀντλίαν, εἰς πρῷραν, εἰς πρύμνην</span>, <span class="fr">jette-moi dans la sentine, à la proue, à la poupe</span> / <span class="gr">κατέϐησαν εἰς τὸ πεδίον</span>, <span class="fr">ils descendirent dans la plaine</span> / <span class="gr">εἰς ἐλάτην ἀναϐάς</span>, <span class="fr">après être monté au milieu (des branches) d'un sapin</span> / <span class="gr">βέλος εἰς ἐγκέφαλον δῦ</span>, <span class="fr">le trait s'enfonça dans sa cervelle</span> ‖ <span class="régime">avec un n. de ville, de pays, de mer, de fleuve, …</span> <span class="gr">εἶμι γὰρ ἐς Σπάρτην</span>, <span class="fr">car je vais à Sparte</span> / <span class="gr">Βοιωτοὶ νῦν ἀπειλοῦσιν ἐμϐαλεῖν εἰς τὴν Ἀττικήν</span>, <span class="fr">maintenant les Béotiens menacent de se jeter sur l'Attique</span> / <span class="gr">εἰς Ἑλλήσποντον εἰσέπλει</span>, <span class="fr">(Doriée) entra avec sa flotte dans l'Hellespont</span> ‖ p.&thinsp;anal. <span class="régime">avec un n. de peuple</span>&nbsp;: <span class="gr">ἀφίκετο ὁ Κῦρος εἰς Μήδους</span>, <span class="fr">Cyrus arriva chez les Mèdes</span> / <span class="gr">ἦλθον ἐς τοὺς Βοιωτούς</span>, <span class="fr">(les envoyés) arrivèrent chez les Béotiens</span> / <span class="gr">εἰς Πέρσας ἔπεμπε</span>, <span class="fr">il envoya chez les Perses</span> ‖ <span class="régime">en gén. avec un subst. plur. ou un nom collect. au sg. marquant l'idée d'une réunion de personnes au milieu desquelles on se présente</span>&nbsp;: <span class="gr">ποῖ γὰρ μολεῖν μοι δυνατόν; ἐς ποίους βροτούς;</span> <span class="fr">car où puis-je aller&nbsp;? au milieu de quels mortels&nbsp;?</span> ‖ <span class="régime">particul. en parl. de tribunaux, d'assemblées</span>&nbsp;: <span class="gr">γραφεὶς τὸν ἀγῶνα τοῦτον εἰς ὑμᾶς εἰσῆλθον</span>, <span class="fr">assigné pour ce procès, je suis venu dans cette enceinte devant vous</span> / <span class="gr">ἐς τὸν δῆμον παρελθεῖν</span>, <span class="fr">s'avancer au milieu du peuple</span> ‖ p.&thinsp;suite, <span class="régime">avec un n. de pers. au sg.</span>&nbsp;: <span class="gr">εἰς Ἀγαμέμνονα δῖον ἄγον</span>, <span class="fr">(les Grecs) menaient (Ajax) auprès du divin Agamemnon</span> / <span class="gr">ἐς Μενέλαον ἐλθεῖν</span>, <span class="fr">aller auprès de Ménélas</span> / <span class="gr">ἀφικόμενος δ' εἰς Πόπλιον Οὐαλέριον</span>, <span class="fr">arrivé auprès de Publius Valerius</span> ‖ <span class="régime">L'acc. dépendant de εἰς, lorsqu'il signifie “maison, demeure, habitation” et qu'il est suivi d'un n. de pers. au gén. est d'ord. s.-entendu</span>&nbsp;: <span class="gr">ἷξεν ἐς Πριάμοιο</span> (s.&thinsp;e. <span class="gr">οἶκον</span>) <span class="fr">il vint dans la demeure de Priam</span> / <span class="gr">ἐς πατρὸς ἀπονέεσθαι</span>, <span class="fr">revenir dans la maison de son père</span> / <span class="gr">εἰς Ἀΐδαο, εἰς Ἅιδου</span> (v. <span class="gr">Ἅιδης</span>) / <span class="gr">ἐπὶ δεῖπνον εἶμι εἰς Ἀγάθωνος</span>, <span class="fr">je vais souper chez Agathôn</span> / <span class="gr">τὸν παῖδα εἰς διδασκάλων πέμπειν</span>, <span class="fr">envoyer l'enfant à l'école, litt. chez des maîtres (v. <span class="gr">διδάσκαλος</span>)</span> / <span class="gr">ἐπειδὰν εἰσέλθω οἴκαδε εἰς ἐμαυτοῦ</span>, <span class="fr">lorsque je serai rentré à la maison chez moi</span> ‖ <span class="régime">sans οἴκαδε</span>&nbsp;: <span class="gr">φέρων δὲ ἐς σεωυτοῦ ἀπόκτεινον</span>, <span class="fr">emporte(-le) chez toi et tue(-le)</span> / <span class="gr">ἠγάγετο ἐς ἑωυτοῦ</span>, <span class="fr">il emmena chez lui</span> ‖ <span class="régime">p. anal.</span> <span class="gr">εἰς ἡμετέρου</span> (vulg. <span class="gr">ἡμέτερον</span>) <span class="fr">chez mon père</span> (<span class="gr">εἰς ἡμ. = εἰς ἐμοῦ πατρὸς οἶκον</span>) ‖ de même <span class="régime">en parl. d'une divinité</span>&nbsp;: <span class="gr">εἰς Ἀθηναίης</span> (s.&thinsp;e. <span class="gr">ἱερόν</span>), <span class="fr">dans le temple d'Athènè</span> / cf. <span class="gr">εἰς Ἀσκληπίου, εἰς Ἀπόλλωνος, ἐς Δήμητρος, ἐς Διονύσου, …</span> ‖ de même, <span class="régime">en parl. du lit d'un fleuve</span>&nbsp;: <span class="gr">εἰς Αἰγύπτοιο</span> (s.&thinsp;e. <span class="gr">ῥόον</span>) <span class="fr">dans le lit de l'Ægyptos</span> ‖ <span class="régime">εἰς se construit qqf. en app. avec un adv. de lieu</span>&nbsp;: <span class="gr">οἴκαδε εἰς ἐμαυτοῦ, ἔνδον εἰς τὴν οἰκίαν σου</span>, <span class="fr">chez toi, dans ta maison</span></li><li><span class="régime">avec les verbes ou les substantifs qui impliquent une idée de mouvement ou de direction, p. ex. avec les verbes signifiant “voir, regarder, appeler”</span>&nbsp;: <span class="gr">εἰς ὦπα ἰδέσθαι</span>, <span class="fr">regarder en face</span> / <span class="gr">εἰς ὦπα ἔοικεν</span>, <span class="fr">(à le voir) en face, il ressemble à</span> / <span class="gr">καλέσαι τινὰ ἐς ὄψιν</span>, <span class="fr">mander qqn devant soi (litt. devant ses yeux)</span> / <span class="gr">παραγγέλλειν εἰς τὰ ὅπλα</span>, <span class="fr">appeler aux armes</span> / <span class="gr">ὁ ἀπόστολος ἐς τὴν Μίλητον</span>, <span class="fr">l'envoyé chargé d'aller à Milet</span> / <span class="gr">ἦν ξύνοδος ἐς Δῆλον</span>, <span class="fr">il y avait eu un grand concours (d'Ioniens) à Dèlos</span></li><li><span class="régime">avec les verbes de repos qui impliquent l'idée d'un mouvement accompli ou à accomplir</span>&nbsp;: <span class="gr">ἐς θρόνους ἕζοντο</span>, <span class="fr">ils s'assirent sur des trônes</span> / <span class="gr">στὰς ἐς μέσον</span>, <span class="fr">s'étant placé debout au milieu (de ses soldats)</span> / <span class="gr">ἐφάνη λῖς εἰς ὁδόν</span>, <span class="fr">un lion parut sur la route</span> / <span class="gr">παρῆσαν εἰς Σάρδεις</span>, <span class="fr">ils se trouvaient à Sardes (où ils venaient d'arriver)</span> / <span class="gr">κατασκηνοῦν εἰς κώμας</span>, <span class="fr">se disperser dans les villages pour camper sous tente</span> / <span class="gr">εἰώθειμεν φοιτᾶν παρὰ τὸν Σωκράτη, συλλεγόμενοι ἕωθεν εἰς τὸ δικαστήριον</span>, <span class="fr">nous avions pour habitude d'aller fréquemment chez Socrate&nbsp;; le rendez-vous avait lieu dès le point du jour devant le tribunal</span></li><li><span class="régime">sans verbe ni subst. impliquant l'idée de mouvement ou de direction, εἰς marquant à lui seul cette idée</span>&nbsp;: <span class="gr">λέγειν εἰς τὸ μέσον τῶν ταξιάρχων</span>, <span class="fr">venir se placer au milieu des taxiarques et dire</span> / <span class="gr">ἐς τὸν δῆμον λέγειν</span>, <span class="fr">venir dire devant le peuple</span> / <span class="gr">εἰς τοὺς Ἕλληνας σαυτὸν σοφιστὴν παρέχειν</span>, <span class="fr">te produire devant les Grecs comme sophiste</span> / <span class="gr">αἱ ἐς τὸ φανερὸν λεγόμεναι αἰτίαι</span>, <span class="fr">(voici) les raisons qui furent ouvertement données</span> / <span class="gr">βούλομαι ἐς τὸ βαλανεῖον</span>, <span class="fr">je veux aller au bain</span> / <span class="gr">ἁλίσκεσθαι εἰς Ἀθήνας</span>, <span class="fr">être pris et envoyé à Athènes</span> / <span class="gr">τοῖς στρατηγοῖς τοῖς εἰς Σικελίαν</span>, <span class="fr">aux généraux désignés pour aller en Sicile</span></li><li><span class="régime">postér. sans idée apparente de mouvement, et c. syn. de ἐν</span>&nbsp;: <span class="gr">οἰκεῖν εἰς τὰ Ὕπατα</span>, <span class="fr">habiter à Hypates</span> / <span class="gr">εἰς Ἐκϐάτανα ἀπέθανε</span>, <span class="fr">il mourut à Ecbatane</span> / <span class="gr">ὁρᾶται λιμὴν εἰς αὐτὴν κάλλιστος</span>, <span class="fr">on y voit un très beau port</span> / <span class="gr">τὸ χρυσίον ὃ εἰλήφεσαν εἰς Ῥώμην</span>, <span class="fr">l'or qu'ils avaient pris à Rome</span> / <span class="gr">εἰς τὸ Πρυτανεῖον ἐσιτεῖτο</span>, <span class="fr">il était nourri dans le Prytanée</span> / <span class="gr">τὴν γῆν εἰς ἣν ὑμεῖς κατοικεῖτε</span>, <span class="fr">le pays que vous habitez</span> / <span class="gr">μηκέτι αὐλισθῆτε εἰς Νινευῆ</span>, <span class="fr">ne séjournez plus à Ninive</span></li></ul><li class="propre"><span style="font-weight: bold">jusqu'à</span> (avec simple idée de direction sans signifier “entrer dans”)</li><ul style="font-size:100%"><li><span class="régime">avec idée de lieu</span>&nbsp;: <span class="gr">εἰς τὸν οὐρανὸν ἥλλοντο</span>, <span class="fr">(les animaux) bondissaient jusqu'au ciel</span> ‖ <span class="régime">p. opp. à <span style="font-weight: bold">ἐκ</span></span>&nbsp;: <span class="gr">ἐκ κεφαλῆς ἐς πόδας ἄκρους</span>, <span class="fr">de la tête à la pointe des pieds&nbsp;; ou simpl.</span> <span class="gr">ἐς πόδας ἐκ κεφαλῆς</span> / <span class="gr">ἐκ τῶν ποδῶν ἐς κεφαλήν</span>, <span class="fr">de la tête aux pieds, des pieds à la tête</span> / cf. <span class="gr">ἐς σφυρὸν ἐκ πτέρνης</span> (v. <span class="gr">σφυρός</span>), <span class="gr">ἐς μυχὸν ἐξ οὐδοῦ</span> (v. <span class="gr">οὐδός</span>) ‖ <span class="régime">avec idée de temps</span>&nbsp;: <span class="gr">ἐς ἠῶ</span>, <span class="fr">jusqu'à l'aurore</span> / <span class="gr">ἐς ἠέλιον καταδύντα</span>, <span class="fr">jusqu'après le coucher du soleil</span> / <span class="gr">εἰς ἄνδρας ἐκ μειρακίων τελευτῶσι</span>, <span class="fr">de jeunes hommes ils finissent par devenir des hommes faits</span> / <span class="gr">εἰς ἄνδρα γενειῶν</span>, <span class="fr">devenant un homme avec de la barbe</span> / <span class="gr">ἐς ἐμέ</span>, <span class="fr">jusqu'à mon temps (litt. jusqu'à moi)</span> ‖ <span class="régime">p. opp. à <span style="font-weight: bold">ἐκ</span></span>&nbsp;: <span class="gr">ἐκ νεότητος ἐς γῆρας</span>, <span class="fr">de la jeunesse à la vieillesse</span> / <span class="gr">ἐκ παιδὸς εἰς γῆρας</span>, <span class="fr">de l'enfance à la vieillesse</span> ‖ <span class="régime">avec un adv.</span> <span class="gr">εἰς πότε;</span> <span class="fr">jusques à quand&nbsp;?</span> / <span class="gr">ἐς τότε</span>, <span class="fr">jusqu'alors</span> / <span class="gr">εἰς ὅτε, ἐς οὗ</span>, <span class="fr">jusqu'à ce que, jusqu'au moment où</span> ‖ <span class="régime">fig.</span> <span class="gr">εἰς τοῦτο θράσους καὶ ἀναιδείας ἀφίκετο</span>, <span class="fr">il en est venu à ce degré d'audace et d'impudence</span></li><li><span class="régime">avec idée de temps</span>&nbsp;: <span style="font-weight: bold">en parvenant à, au moment de</span>&nbsp;: <span class="gr">ἐς ἠέλιον καταδύντα</span>, <span class="fr">avec le coucher du soleil</span> / <span class="gr">ἐς ὕστερον</span>, <span class="fr">le lendemain</span> / <span class="gr">ἐς αὔριον</span>, m. sign. / <span class="gr">ἐς ὀψέ</span>, <span class="fr">sur le tard</span> / <span class="gr">ἐς τέλος</span>, <span class="fr">à la fin</span> / <span class="gr">ἐς καιρόν</span>, <span class="fr">au moment opportun</span></li><li><span class="régime">avec un n. de nombre</span>, <span style="font-weight: bold">jusqu'à, aux environs de, vers</span>&nbsp;: <span class="gr">ἐς τριακάδας δέκα ναῶν</span>, <span class="fr">339, 300 vaisseaux environ</span> / <span class="gr">ναῦς ἐς τὰς τριακοσίας, διακοσίας</span>, <span class="fr">200, 300 vaisseaux environ</span> / <span class="gr">τοξότας καὶ σφενδονήτας εἰς τετρακοσίους</span>, <span class="fr">environ 400 archers et frondeurs</span> ‖ <span class="régime">particul. en un sens distributif</span>&nbsp;: <span class="gr">ἐς δεκάδας διακοσμεῖσθαι</span>, <span class="fr">être disposé par groupes de dix</span> / <span class="gr">εἰς δύο</span>, <span class="fr">deux par deux</span> / <span class="gr">εἰς ὀκτώ</span>, <span class="fr">jusqu'à huit, c. à d. sur huit rangs de profondeur</span> / <span class="gr">ἐς δραχμὴν ἑκάστῳ διέδωκε</span>, <span class="fr">il distribua à chaque homme une drachme</span></li></ul><li class="propre">p.&thinsp;suite, avec idée de direction ou de destination, <span style="font-weight: bold">vers</span>, c.&thinsp;à&thinsp;d.</li><ul style="font-size:100%"><li><span class="régime">avec un n. de lieu, de pays, de peuple</span>&nbsp;: <span class="gr">εἰς οὐρανὸν ἰδεῖν</span>, <span class="fr">regarder vers le ciel</span> ‖ <span class="régime">avec un subst.</span> <span class="gr">ἡ εἰς Βοιωτοὺς ὁδός</span>, <span class="fr">la route qui mène en Béotie</span> / <span class="gr">τὸ εἰς Παλλήνην τεῖχος</span>, <span class="fr">le mur qui regarde Pallène</span></li><li><span class="régime">avec un n. de pers.</span> <span style="font-weight: bold">envers, à l'adresse de</span>&nbsp;: <span class="gr">λέγειν εἴς τινα</span>, <span class="fr">parler à qqn</span> / <span class="gr">δίκαιος εἴς τινα</span>, <span class="fr">juste envers qqn</span> / <span class="gr">ἀλλ' οὔτε πρὸς τοὺς ἄλλους οὔτε ἐς ἡμᾶς τοιοίδε εἰσίν</span>, <span class="fr">mais tels ils ne sont ni pour les autres ni envers nous</span> / <span class="gr">τούτοις δ' ἐς ἀμφοτέρους φιλία ἦν</span>, <span class="fr">ceux-ci avaient des relations d'amitié à la fois avec les deux partis</span> / <span class="gr">ἡ εἰς ὑμᾶς εὔνοια</span>, <span class="fr">la bienveillance envers vous</span> ‖ <span class="régime">en mauv. part</span>&nbsp;: <span class="gr">ἁμαρτάνειν εἴς τινα</span>, <span class="fr">pécher envers qqn</span> / <span class="gr">ὀργῇ χαλεπῇ χρῆσθαι ἔς τινα</span>, <span class="fr">se montrer avec qqn d'une humeur intraitable</span> / <span class="gr">ἁμάρτημα εἴς τινα</span>, <span class="fr">faute à l'égard de qqn</span> / <span class="gr">αἰτία ἔς τινα</span>, <span class="fr">accusation contre qqn</span> / <span class="gr">ἔχθρα ἔς τινα</span>, <span class="fr">haine contre qqn</span></li><li><span class="régime">avec idée de temps</span>, <span style="font-weight: bold">en vue de</span>&nbsp;: <span class="gr">εἰς ἐνιαυτόν</span>, <span class="fr">pour une année</span></li><li><span class="régime">idée d'une occupation ou d'une destination quelconque</span>&nbsp;: <span class="gr">ἐς πόλεμον θωρήσσεσθαι</span>, <span class="fr">revêtir sa cuirasse pour la bataille</span> / <span class="gr">ἴμεν ἐς θήρην</span>, <span class="fr">partir pour la chasse</span> / <span class="gr">πέμψον εἰς κατασκοπήν</span>, <span class="fr">envoie en observation</span> / <span class="gr">εἰς κέρδος τι δρᾶν</span>, <span class="fr">faire qqe ch. en vue d'un gain</span> / <span class="gr">ἐς φόϐον</span>, <span class="fr">pour effrayer</span> / <span class="gr">ἐς γράμματα</span>, <span class="fr">pour apprendre</span> ‖ <span class="régime">avec un subst.</span> <span class="gr">τὰ εἰς τὸν πόλεμον ἔργα</span>, <span class="fr">les exercices en vue de la guerre, les exercices militaires</span> / <span class="gr">ἡ εἰς ἑορτὰς ἐσθής</span>, <span class="fr">les vêtements pour les jours de fête</span> ‖ <span class="régime">avec un adj.</span> <span class="gr">ἀγαθὸς εἰς πόλεμον</span>, <span class="fr">propre à la guerre</span> / <span class="gr">ἐπιτήδειος</span> ou <span class="gr">εὐπρεπὴς ἔς τι</span>, <span class="fr">propre à qqe ch.</span> / de même avec <span class="gr">σύμφορος, χρήσιμος</span></li><li><span class="régime">pour marquer une idée de relation</span>, <span style="font-weight: bold">à l'endroit de, en ce qui regarde, en ce qui concerne, quant à</span>&nbsp;: <span class="gr">αἰτία ἐπιφερομένη ἐς μαλακίαν</span>, <span class="fr">accusation de lâcheté portée contre qqn</span> ‖ <span class="régime">avec un subst.</span> <span class="gr">ἡ ἐς γῆν καὶ θάλατταν ἀρχή</span>, <span class="fr">la domination sur terre et sur mer (litt. en ce qui regarde la terre, …)</span> / <span class="gr">δέος ἐς Συρακοσίους</span>, <span class="fr">la crainte à l'égard des Syracusains</span> ‖ <span class="régime">avec l'art. neutre</span>&nbsp;: <span class="gr">τό γ' εἰς ἑαυτόν</span>, <span class="fr">ce qui regarde chacun en propre</span> / <span class="gr">τὸ εἰς ἐμέ</span>, <span class="fr">ce qui me concerne</span> ‖ <span class="régime">avec un adj.</span> <span class="gr">Ἀθηναῖος εἶ, πόλεως τῆς μεγίστης καὶ εὐδοκιμωτάτης εἰς σοφίαν καὶ ἰσχύν</span>, <span class="fr">tu es d'Athènes, de la cité la plus grande et la plus renommée pour sa sagesse et sa force</span> ‖ <span class="régime">de même dans un grand nombre de locut.</span>&nbsp;: <span class="gr">εἰς ὅσον ἐγὼ σθένω</span>, <span class="fr">pour autant que j'ai de force, selon mes forces</span> / <span class="gr">ἐς τὰ ἄλλα</span>, <span class="fr">pour le reste, quant au reste</span> / <span class="gr">ἐς τὰ πάντα</span>, <span class="fr">en tout, absolument</span></li><li>p.&thinsp;suite, <span style="font-weight: bold">en relation ou d'accord avec, conformément à</span>, d'où <span style="font-weight: bold">par suite de, selon</span>&nbsp;: <span class="gr">εἰς νόμον</span>, <span class="fr">selon la loi</span> / <span class="gr">εἰς δύναμιν, ἐς τὸ δυνατόν</span>, <span class="fr">selon le possible</span> / <span class="gr">ἐς τὸν πωλικὸν τρόπον</span>, <span class="fr">à la façon des jeunes chevaux</span> / <span class="gr">εἰς ὄρνιθος τρόπον</span>, <span class="fr">à la façon d'un oiseau</span> ‖ <span class="régime">de même dans un grand nombre de locut. adv.</span> <span class="gr">εἰς καλόν = καλῶς</span>, <span class="fr">bien, noblement (litt. selon ce qui est beau)</span> / <span class="gr">ἐς τάχος = ταχέως</span>, <span class="fr">vite</span> / <span class="gr">ἐς κοινόν = κοινῶς</span>, <span class="fr">en commun</span> / <span class="gr">ἐς τὸ ἀκριϐές</span> ou <span class="gr">ἐς ἀκρίϐειαν = ἀκριϐῶς</span>, <span class="fr">exactement</span></li></ul></ul><li>en composition εἰς marque l'idée d'“entrer dans” (<span class="gr">εἰσϐαίνω, εἰσέρχομαι, …</span>)</li><li class="étym">Étym. ἐν <span class="régime">avec l'acc. de direction</span> dans certains dialectes = ἐνς dans d'autres, d'où εἰς, ἐς.</li>

ἐν <span class="cas">+dat</span>|<p style="font-size: smaller;">[proclitique]</p>dans, à (locatif)|<li class="propre"><span style="font-weight: bold">dedans, dans, parmi, en</span>, sans idée de mouvement</li><li>avec idée de temps, <span style="font-weight: bold">au temps de, au moment de, pendant, durant</span></li><li class="étym">Étym. indo-europ. <span class="indo-europ">*h₁en(i)</span>, <span style="font-weight: bold">dedans</span>&nbsp;; cf. anc.&thinsp;lat. <span class="lat">en</span> p. <span class="lat">in</span></li>

ὁ ἄνθρωπος, ου|l'homme|<li class="propre">en gén. <span style="font-weight: bold">homme, être humain</span> p.&thinsp;opp. aux dieux / à ἀνήρ / à γυνή</li><li style="list-style: square">Crase att. <span class="gr">ὁ ἄνθρωπος</span> = <span class="gr" style="font-weight: bold">ἅνθρωπος</span></li><li class="étym">Étym. 1. mot composé de ἀνήρ, <span class="fr">homme</span> et de ὤψ, <span class="fr">visage</span>, litt. <span class="fr">à visage d'homme</span>. 2. Une étymologie alternative repose sur une forme <span class="indo-europ">*ṇdʰ-r-e-h₃kʷ-ó-</span>, <span style="font-weight: bold">inférieur, terrien</span>&nbsp;; dont le radical serait alors apparenté au lat. <span class="lat">inferus</span>, à <span class="fr">under</span> en anglais et ἀθερίζω, <span class="fr">négliger, considérer comme inférieur</span>. Il s'oppose à ἀνήρ comme le lat. <span class="lat">homo</span> s'oppose à <span class="lat">vir</span>. Voir l'usage péjoratif du mot.</li>

ὁ ἵππος, ου|le cheval|<li class="propre"><span style="font-weight: bold">cheval, cheval de trait, de course, de combat</span></li><li>p.&thinsp;suite, les chevaux et <span style="font-weight: bold">le char, l'attelage</span></li><li>p.&thinsp;ext. les guerriers montés sur un char, p.&thinsp;opp. à πεζοί</li><li>collect. ἡ ἵππος, <span class="fr">la cavalerie</span>, touj.&thinsp;au sg.</li><li class="étym">Étym. indo-europ. <span class="indo-europ">*h₁eḱuo-</span>, <span style="font-weight: bold">cheval</span>&nbsp;; cf. lat. <span class="lat">equus</span>, sscr. अश्व aśva.</li>

ὁ ἀγρός, οῦ|le champ|<li class="propre"><span style="font-weight: bold">champ</span>, d'ord.&thinsp;au pl.</li><li>la <span style="font-weight: bold">campagne</span>, p.&thinsp;opp. à la ville</li><li class="étym">Étym. √ indo-europ. <span class="indo-europ">*h₂eǵ-ro-</span>, <span style="font-weight: bold">champ</span>&nbsp;; cf. lat. <span class="lat">ăger</span>, sscr. अज्र ájra&nbsp;; probabl. de <span class="indo-europ">*h₂eǵ-</span>, <span style="font-weight: bold">conduire</span>, v. ἄγω, <span class="fr">terre en jachère où l'on conduisait le bétail</span>.</li>

