tags: ἕρμαιον ἕρμαιον-3 version

3.5.1|Πολλὰ ζῷά ἐστι τοῖς ἀνθρώποις φίλα.|<span class="sujet">Πολλὰ ζῷά</span> <span class="verbe">ἐστι</span> <span class="complément">τοῖς ἀνθρώποις</span>&thinsp;<sub>[COI]</sub> <span class="sujet">φίλα</span>&thinsp;<sub>[attr.]</sub>.|De nombreux animaux sont amis des hommes.

3.5.2|Λόγον τὰ ζῷα οὐκ ἔχει.||

3.5.3|Τοῖς ἀνθρώποις ἐστὶ καλὸν τῶν θεῶν δῶρον ὕπνος.||

3.5.4|Ὁ κῆπος μεστός ἐστι ῥόδων καὶ ἴων καὶ τερπνός ἐστι τοῖς τέκνοις.||

3.5.5|Δεινὸν φάρμακόν ἐστι τὸ κώνειον.||

3.5.6|Τὰ τῶν γεωργῶν ζῷά ἐστιν ἐν τοῖς ἀγροῖς.||

3.5.7|Οὐ ῥᾴδιά ἐστι τὰ τῶν δούλων ἔργα.||

3.5.8|Δένδρα πολλά ἐστιν ἐν τῷ πεδίῳ καὶ καρποὺς φέρει.||



Γνῶμαι μονόστιχοι, 46 – Μένανδρος|Ἆρ᾽ ἐστὶ θυμοῦ φάρμακον χρηστὸς λόγος.||Une parole bienveillante est assurément un réconfort pour le cœur.

Γνῶμαι μονόστιχοι, 780 – Μένανδρος|Ὕπνος δεινὸν ἀνθρώποις κακόν.||Le sommeil est un terrible fléau pour les hommes.

Γνῶμαι μονόστιχοι, 621 – Μένανδρος|Ὅπλον μέγιστον τοῖς ἀνθρώποις λόγος.||La parole est une arme puissante pour les hommes.

Γνῶμαι μονόστιχοι, ? – Μένανδρος|Κοινὰ τὰ τῶν φίλων.||Les amis ont tout en commun.
