tags: ἕρμαιον ἕρμαιον-3 vocabulaire

τὸ δῶρον, ου|le cadeau|<li class="propre"><span style="font-weight: bold">don, présent</li><li>particul. <span style="font-weight: bold">offrande aux dieux, tribut</span>&nbsp;; au plur. <span style="font-weight: bold">présents pour corrompre</span></li><li class="étym">Étym. √ indo-europ. <span class="indo-europ">*deh₃-ro-</span>, <span style="font-weight: bold">don</span>&nbsp;; cf. δίδωμι, <span class="fr">donner</span>&nbsp;; lat. <span class="lat">dōnum</span>.</li>

τὸ ζῷον, ου|l'animal|<li class="propre"><span style="font-weight: bold">tout être vivant</span>&nbsp;; particul. <span style="font-weight: bold">animal</span>, p.&thinsp;opp. aux plantes</li><li>p.&thinsp;ext. <span style="font-weight: bold">personnage ou figure</span> (d'homme ou d'animal) représentés dans un tableau</li><li class="étym">Étym. neut.&thinsp;subst. de ζωός, <span class="fr">vivant</span>&nbsp;; contrac. de ζώϊον</li>

τὸ φάρμακον, ου <span class="quantité">[μᾰ]</span>|le poison, le remède|<li class="propre">toute substance au moyen de laquelle on altère la nature d'un corps, <span style="font-weight: bold">toute drogue salutaire ou malfaisante</span></li><li>drogue médicinale&nbsp;: <span style="font-weight: bold">médicament, remède</span> préparé, onguent</li><li>drogue malfaisante&nbsp;: <span style="font-weight: bold">poison</span></li><li>préparation magique (breuvage, drogue qconque)&nbsp;; p.&thinsp;suite, toute opération de magie (chant, formule, etc.)</li>

ὁ ὕπνος, ου <span class="quantité">[ῡ]</span>|le sommeil|<li class="propre"<span style="font-weight: bold">sommeil</span></li><li class="étym">Étym. indo-europ. <span class="indo-europ">*súpnos</span>, <span style="font-weight: bold">sommeil</span>, dérivé de <span class="indo-europ">*swep-</span>, <span style="font-weight: bold">dormir</span>&nbsp;; cf. lat. <span class="lat">sopio, somnus</span> et </span>supo</span>, sscr. स्वप्न svápna.</li>

τὸ κακόν, οῦ|le mal, le malheur|<li class="propre"><span style="font-weight: bold">mal, malheur</span></li><li class="étym">Étym. neut.&thinsp;subst. de κακός, <span class="fr">mauvais, méchant</span></li>

δεινός, ή, όν|terrible|<li class="propre"><span style="font-weight: bold">qui inspire la crainte</span>, et, p.&thinsp;suite, <span style="font-weight: bold">l'étonnement</span></li><li><span style="font-weight: bold">terrible, effrayant</span>, en parl.&thinsp;de pers. ou de choses</li><li><span style="font-weight: bold">dangereux</span></li><li>p.&thinsp;ext. <span style="font-weight: bold">mauvais, malfaisant, funeste</span></li><li>qui frappe l'imagination, <span style="font-weight: bold">étonnant, extraordinaire, étrange</span></li><li>en parl.&thinsp;de pers. <span style="font-weight: bold">merveilleusement doué, extraordinairement habile</span> &mdash; d'ord.&thinsp;en b.&thinsp;part&nbsp;: ἀνὴρ δ. τε καὶ σοφός, <span class="fr">homme intelligent et avisé</span>&nbsp;; δ. εὑρεῖν, <span class="fr">habile à découvrir</span>&nbsp;; postér. en parl.&thinsp;de l'habileté dans une profession, particul. dans l'art de la parole&nbsp;: ῥήτωρ δ., <span class="fr">habile orateur</span>&nbsp;; δ. λέγειν, <span class="fr">habile à parler</span> &mdash; avec une nuance de blâme ou d'ironie&nbsp;: δ. σοφιστής, <span class="fr">habile sophiste</span>&nbsp;; γλώσσῃ δ. καὶ σοφός, <span class="fr">à la langue habile et avisée</span> (Ulysse) &mdash; tout à fait en mauv. part</li><li>qqf. opposé à πανοῦργος, <span class="fr">apte à tout faire, adroit</span>&nbsp;; mais pouvant impliquer l'idée de πανοῦργος, aussi bien que celle de φρόνιμος, <span class="fr">sensé</span></li><li class="étym">Étym. indo-europ. <span class="indo-europ">*dweinós</span>, de √ <span class="indo-europ">*duei-</span>, <span style="font-weight: bold">craindre</span>&nbsp;; cf. δείδω, <span class="fr">craindre, avoir peur</span>&nbsp;; lat. <span class="lat">dirus</span>.</li>

τρέχω|je cours|<li class="propre"><span style="font-weight: bold">courir</span></li><li class="étym">Étym. √√ indo-europ. <span class="indo-europ">*dʰregʰ-</span> / <span class="indo-europ">drem-</span>, <span style="font-weight: bold">courir</span>&nbsp;; cf. δρόμος, <span class="fr">course</span>&nbsp;; ang. <span class="fr">trek</span>.</li>

κακολόγος, ου|médisant|<li class="propre"><span style="font-weight: bold">qui dit du mal de, détracteur, calomnieux</span></li><li><span style="font-weight: bold">injurieux</span></li><li class="étym">Étym. κ. λέγω, <span class="fr">dire</span> &gt; κακο·λόγος</li>

τὸ ζυγόν, οῦ|le joug|<li class="propre"><span style="font-weight: bold">tout ce qui sert à joindre deux objets ensemble</span></li><li>d'où&nbsp;: <span style="font-weight: bold">joug</span> pour deux bœufs ou deux chevaux</li><li>fig. le joug de la servitude, de la mort, de la nécessité, etc.</li><li>p.&thinsp;ext. <span style="font-weight: bold">lien</span></li><li>t.&thinsp;de mar. <span style="font-weight: bold">banc de rameurs</span>, allant de l'un à l'autre côté du navire&nbsp;; d'où fig. <span style="font-weight: bold">rang qu'on occupe</span> (dans la cité, dans l'État)</li><li><span style="font-weight: bold">fléau d'une balance</span> (propr. ce qui unit les deux plateaux)&nbsp;; d'où <span style="font-weight: bold">balance</span></li><li>p.&thinsp;suite, <span style="font-weight: bold">tout objet accouplé</span>, d'où&nbsp;: <span style="font-weight: bold">couple, paire</span></li><li class="étym">Étym. indo-europ. <span class="indo-europ">*iugóm</span>, de √ <span class="indo-europ">*ieug-</span>, <span style="font-weight: bold">relier</span>&nbsp;; déverbal de ζεύγνυμι, <span class="fr">joindre</span>&nbsp;; cf. lat. <span class="lat">jugum</span>.</li>

ὁ οἶκος, ου|la maison|<li class="propre"><span style="font-weight: bold">maison, habitation</span></li><li>au sens de «&nbsp;maison&nbsp;», οἶκος est poét.&nbsp;; les prosat.&thinsp;att. emploient de préférence οἰκία</li><li class="étym">Étym. indo-europ. <span class="indo-europ">*woiḱos</span>, de √√ <span class="indo-europ">*ueiḱ-</span> et <span class="indo-europ">*uoiḱ-</span>, <span style="font-weight: bold">maison</span>&nbsp;; cf. lat. <span class="lat">vīcus</span>, sscr. वेश veśa.</li>

