tags: ἕρμαιον ἕρμαιον-4 conjugaison

παιδεύομαι (1mp)|j'éduque (M), je suis éduqué (P)|indicatif imperfectif présent|voix médio-passive|παιδεύομαι|[παιδεύ-ο<span class="désinence">-μαι</span>]|παιδεύει (-ῃ)|[*παιδεύ-ε<span class="désinence">-σαι</span>]|παιδεύεται|[παιδεύ-ε<span class="désinence">-ται</span>]|παιδευόμεθᾰ|[παιδευ-ό<span class="désinence">-μεθᾰ</span>]|παιδεύεσθε|[παιδεύ-ε<span class="désinence">-σθε</span>]|παιδεύονται|[παιδεύ-ο<span class="désinence">-νται</span>]

λύομαι (1mp)|je délie (M), je suis délié (P)|indicatif imperfectif présent|voix médio-passive|λύομαι|[λύ-ο<span class="désinence">-μαι</span>]|λύει (-ῃ)|[*λύ-ε<span class="désinence">-σαι</span>]|λύεται|[λύ-ε<span class="désinence">-ται</span>]|λυόμεθᾰ|[λυ-ό<span class="désinence">-μεθᾰ</span>]|λύεσθε|[λύ-ε<span class="désinence">-σθε</span>]|λύονται|[λύ-ο<span class="désinence">-νται</span>]

τιμῶ (1a)|j'honore|indicatif imperfectif présent|voix active|τιμῶ|[*τιμά<span class="désinence">-ω</span>]|τιμᾷς|[*τιμά<span class="désinence">-εις</span>]|τιμᾷ|[*τιμά<span class="désinence">-ει</span>]|τιμῶμεν|[*τιμά-ο<span class="désinence">-μεν</span>]|τιμᾶτε|[*τιμά-ε<span class="désinence">-τε</span>]|τιμῶσι(ν)|[*τιμά-ουσῐ(ν)]

τιμῶμαι (1mp)|j'honore (M), je suis honoré (P)|indicatif imperfectif présent|voix médio-passive|τιμῶμαι|[*τιμά-ο<span class="désinence">-μαι</span>]|τιμᾷ|[*τιμά-ει (-ε<span class="désinence">-σαι</span>)]|τιμᾶται|[*τιμά-ε<span class="désinence">-ται</span>]|τιμώμεθα|[*τιμα-ό<span class="désinence">-μεθᾰ</span>]|τιμᾶσθε|[*τιμά-ε<span class="désinence">-σθε</span>]|τιμῶνται|[*τιμά-ο<span class="désinence">-νται</span>]

ποιῶ (1a)|je fais|indicatif imperfectif présent|voix active|ποιῶ|[*ποιέ<span class="désinence">-ω</span>]|ποιεῖς|[*ποιέ<span class="désinence">-εις</span>]|ποιεῖ|[*ποιέ<span class="désinence">-ει</span>]|ποιοῦμεν|[*ποιέ-ο<span class="désinence">-μεν</span>]|ποιεῖτε|[*ποιέ-ε<span class="désinence">-τε</span>]|ποιοῦσι(ν)|[*ποιέ-ουσῐ(ν)]

ποιοῦμαι (1mp)|je fais (M), je suis fait (P)|indicatif imperfectif présent|voix médio-passive|ποιοῦμαι|[*ποιέ-ο<span class="désinence">-μαι</span>]|ποιεῖ|[*ποιέ-ει (-ε<span class="désinence">-σαι</span>)]|ποιεῖται|[*ποιέ-ε<span class="désinence">-ται</span>]|ποιούμεθα|[*ποιε-ό<span class="désinence">-μεθᾰ</span>]|ποιεῖσθε|[*ποιέ-ε<span class="désinence">-σθε</span>]|ποιοῦνται|[*ποιέ-ο<span class="désinence">-νται</span>]

δηλῶ (1a)|je montre|indicatif imperfectif présent|voix active|δηλῶ|[*δηλό<span class="désinence">-ω</span>]|δηλοῖς|[*δηλό<span class="désinence">-εις</span>]|δηλοῖ|[*δηλό<span class="désinence">-ει</span>]|δηλοῦμεν|[*δηλό-ο<span class="désinence">-μεν</span>]|δηλοῦτε|[*δηλό-ε<span class="désinence">-τε</span>]|δηλοῦσι(ν)|[*δηλό-ουσῐ(ν)]

δηλοῦμαι (1mp)|je montre (M), je suis montré (P)|indicatif imperfectif présent|voix médio-passive|δηλοῦμαι|[*δηλό-ο<span class="désinence">-μαι</span>]|δηλοῖ|[*δηλό-ει (-ε<span class="désinence">-σαι</span>)]|δηλοῦται|[*δηλό-ε<span class="désinence">-ται</span>]|δηλούμεθα|[*δηλο-ό<span class="désinence">-μεθᾰ</span>]|δηλοῦσθε|[*δηλό-ε<span class="désinence">-σθε</span>]|δηλοῦνται|[*δηλό-ο<span class="désinence">-νται</span>]
