tags: ἕρμαιον ἕρμαιον-5 déclinaison

 ἡ ἡμέρᾱ|le jour|ἡ|ἡμέρ<span class="désinence">ᾱ</span>|ἡμέρ<span class="désinence">ᾱ</span>|τὴν|ἡμέρ<span class="désinence">ᾱν</span>|τῆς|ἡμέρ<span class="désinence">ᾱς</span>|τῇ|ἡμέρ<span class="désinence">ᾳ</span>|αἱ|ἡμέρ<span class="désinence">αι</span>|ἡμέρ<span class="désinence">αι</span>|τὰς|ἡμέρ<span class="désinence">ᾱς</span>|τῶν|ἡμερ<span class="désinence">ῶν</span>|ταῖς|ἡμέρ<span class="désinence">αις</span>

 ἡ ἄγκυρᾰ|l'ancre|ἡ|ἄγκυρ<span class="désinence">ᾰ</span>|ἄγκυρ<span class="désinence">ᾰ</span>|τὴν|ἄγκυρ<span class="désinence">ᾰν</span>|τῆς|ἀγκύρ<span class="désinence">ᾱς</span>|τῇ|ἀγκύρ<span class="désinence">ᾳ</span>|αἱ|ἄγκυρ<span class="désinence">αι</span>|ἄγκυρ<span class="désinence">αι</span>|τὰς|ἀγκύρ<span class="désinence">ᾱς</span>|τῶν|ἀγκυρ<span class="désinence">ῶν</span>|ταῖς|ἀγκύρ<span class="désinence">αις</span>

 ἡ κεφαλή|la tête|ἡ|κεφαλ<span class="désinence">ή</span>|κεφαλ<span class="désinence">ή</span>|τὴν|κεφαλ<span class="désinence">ήν</span>|τῆς|κεφαλ<span class="désinence">ῆς</span>|τῇ|κεφαλ<span class="désinence">ῇ</span>|αἱ|κεφαλ<span class="désinence">αί</span>|κεφαλ<span class="désinence">αί</span>|τὰς|κεφαλ<span class="désinence">άς</span>|τῶν|κεφαλ<span class="désinence">ῶν</span>|ταῖς|κεφαλ<span class="désinence">αῖς</span>

 ἡ γλῶττᾰ|la langue|ἡ|γλῶττ<span class="désinence">ᾰ</span>|γλῶττ<span class="désinence">ᾰ</span>|τὴν|γλῶττ<span class="désinence">ᾰν</span>|τῆς|γλώττ<span class="désinence">ης</span>|τῇ|γλώττ<span class="désinence">ῃ</span>|αἱ|γλῶττ<span class="désinence">αι</span>|γλῶττ<span class="désinence">αι</span>|τὰς|γλώττ<span class="désinence">ᾱς</span>|τῶν|γλωττ<span class="désinence">ῶν</span>|ταῖς|γλώττ<span class="désinence">αις</span>

 ἡ κρήνη|la fontaine|ἡ|κρήνη|κρήνη|τὴν|κρήνην|τῆς|κρήνης|τῇ|κρήνῃ|αἱ|κρῆναι|κρῆναι|τὰς|κρήνᾱς|τῶν|κρηνῶν|ταῖς|κρήναις

 ἡ τύχη|le hasard|ἡ|τύχ<span class="désinence">η</span>|τύχ<span class="désinence">η</span>|τὴν|τύχ<span class="désinence">ην</span>|τῆς|τύχ<span class="désinence">ης</span>|τῇ|τύχ<span class="désinence">ῃ</span>|αἱ|τύχ<span class="désinence">αι</span>|τύχ<span class="désinence">αι</span>|τὰς|τύχ<span class="désinence">ας</span>|τῶν|τυχ<span class="désinence">ῶν</span>|ταῖς|τύχ<span class="désinence">αις</span>

 ἡ λύπη|le chagrin|ἡ|λύπ<span class="désinence">η</span>|λύπ<span class="désinence">η</span>|τὴν|λύπ<span class="désinence">ην</span>|τῆς|λύπ<span class="désinence">ης</span>|τῇ|λύπ<span class="désinence">ῃ</span>|αἱ|λῦπ<span class="désinence">αι</span>|λῦπ<span class="désinence">αι</span>|τὰς|λύπ<span class="désinence">ας</span>|τῶν|λυπ<span class="désinence">ῶν</span>|ταῖς|λύπ<span class="désinence">αις</span>
