tags: ἕρμαιον ἕρμαιον-5 version

5.3.1|Πολλοὶ ἐν τοῖς κακοῖς τὴν τύχην αἰτιῶνται.|<span class="sujet">Πολλοὶ</span> <span class="CCL"><span class="préposition">ἐν</span><sub>+dat.</sub> <span class="régime">τοῖς κακοῖς</span></span> <span class="COD">τὴν τύχην</span> <span class="verbe">αἰτιῶνται</span><sub>-ά-ονται / moy.</sub>.|Beaucoup accusent la fortune dans leurs malheurs.

5.3.2|Ὁ μὲν ἀγαθὸς ἰατρὸς καλῶς ἰᾶται πολλὰς νόσους, ὁ δὲ κακὸς ἰατρὸς θεραπεύει κακῶς.|<sup>Α</sup><span class="bloc"><span class="sujet">Ὁ μὲν <span class="adj">ἀγαθὸς</span> ἰατρὸς</span> <span class="verbe adv">καλῶς</span> <span class="verbe">ἰᾶται</span><sub>-ά-εται</sub> <span class="COD"><span class="adj">πολλὰς</span> νόσους</span>,</span> <sup>Β</sup><span class="bloc"><span class="sujet">ὁ δὲ <span class="adj">κακὸς</span> ἰατρὸς</span> <span class="verbe">θεραπεύει</span> <span class="verbe adv">κακῶς</span>.</span>|<sup>Α</sup>Le bon médecin guérit avec succès de nombreuses maladies, <sup>Β</sup>alors que le mauvais les soigne mal.

5.3.3|Ὕπνος ἀγαθὸς πολλὰς ἰᾶται νόσους.|<span class="sujet">Ὕπνος <span class="adj">ἀγαθὸς</span></span> <span class="COD"><span class="adj">πολλὰς</span></span> <span class="verbe">ἰᾶται</span><sub>-ά-εται</sub> <span class="COD">νόσους</span>.|Un bon sommeil guérit de nombreuses maladies.

5.3.4|Πολλῶν λυπῶν αἴτιαί εἰσιν αἱ πονηραὶ γλῶτταί.|<span class="attribut"><span class="CDN"><span class="adj">Πολλῶν</span> λυπῶν</span> αἴτιαί</span> <span class="verbe">εἰσιν</span> <span class="sujet">αἱ <span class="adj">πονηραὶ</span> γλῶτταί</span>.|Les mauvaises langues sont causes de nombreux chagrins.

5.3.5|<sup>Α</sup>Ἡ ὀργὴ αἰτία ἐστὶ μεγίστων κακῶν, ὦ φίλε.<br><sup>Β</sup>Ἡ ὀργὴ μέγιστα τίκτει κακά.|<sup>Α</sup><span class="sujet">Ἡ ὀργὴ</span> <span class="attribut">αἰτία</span> <span class="verbe">ἐστὶ</span> <span class="attribut"><span class="CDN"><span class="adj">μεγίστων</span> κακῶν</span></span>, ὦ φίλε.<br><sup>Β</sup><span class="sujet">Ἡ ὀργὴ</span> <span class="COD"><span class="adj">μέγιστα</span></span> <span class="verbe">τίκτει</span> <span class="COD">κακά</span>.|<sup>Α</sup>La colère est la cause de très grands malheurs, mon ami.<br><sup>Β</sup>La colère engendre de très grands malheurs.

5.3.6|Δεινὰς νόσους νοσοῦσι πολλοὶ ἄνθρωποι.|<span class="COD"><span class="adj">Δεινὰς</span> νόσους</span> <span class="verbe">νοσοῦσι</span><sub>-έ-ουσῐ / +acc.</sub> <span class="sujet"><span class="adj">πολλοὶ</span> ἄνθρωποι</span>.|Beaucoup de gens souffrent de terribles maladies.

5.3.7|Φίλους ἔχω λαμπροὺς καὶ ξένους πολλοὺς λαμπρῶς δέχομαι.|<sup>Α</sup><span class="bloc"><span class="COD">Φίλους</span> <span class="verbe">ἔχω</span> <span class="COD"><span class="adj">λαμπροὺς</span></span></span> καὶ <sup>Β</sup><span class="bloc"><span class="COD">ξένους <span class="adj">πολλοὺς</span></span> <span class="verbe adv">λαμπρῶς</span> <span class="verbe">δέχομαι</span></span>.|<sup>Α</sup>J'ai des amis illustres et <sup>Β</sup>je reçois brillamment de nombreux hôtes.

5.3.8|Οἱ καρποὶ πίπτουσιν.|<span class="sujet">Οἱ καρποὶ</span> <span class="verbe">πίπτουσιν</span>.|Les fruits tombent.

5.3.9|Ταῖς γλώτταις ποιοῦσιν οἱ ἄνθρωποι καὶ πολλὰ ἀγαθὰ καὶ πολλὰ κακά.|<span class="COI">Ταῖς γλώτταις</span> <span class="verbe">ποιοῦσιν</span><sub>-έ-ουσῐ</sub> <span class="sujet">οἱ ἄνθρωποι</span> <span class="bloc COD">καὶ <span class="adj">πολλὰ</span> ἀγαθὰ</span> <span class="bloc COD">καὶ <span class="adj">πολλὰ</span> κακά</span>.|Par les langues, les hommes réalisent à la fois beaucoup de bonnes et de mauvaises choses.

5.3.10|Φοϐοῦνται οἱ ἄνθρωποι τὰς τῶν θεῶν ὀργάς· ὀργίζονται γὰρ ἐνίοτε δεινῶς οἱ θεοὶ τοῖς ἀνθρώποις.|<sup>Α</sup><span class="bloc"><span class="verbe">Φοϐοῦνται</span><sub>-έ-ονται</sub> <span class="sujet">οἱ ἄνθρωποι</span> <span class="COD">τὰς <span class="CDN">τῶν θεῶν</span> ὀργάς</span></span>· <sup>Β</sup><span class="bloc"><span class="verbe">ὀργίζονται</span><sub>/ +dat.</sub> γὰρ <span class="verbe adv">ἐνίοτε δεινῶς</span> <span class="sujet">οἱ θεοὶ</span> <span class="COI">τοῖς ἀνθρώποις</span></span>.|<sup>Α</sup>Les hommes redoutent les colères des dieux&nbsp;: <sup>Β</sup>en effet, les dieux se mettent parfois terriblement en colère contre les hommes.


5.4.1|Καλή ἐστιν ἡ ἡμέρα· καλαί εἰσιν αἱ ἡμέραι.|<sup>Α</sup><span class="bloc"><span class="attribut">Καλή</span> <span class="verbe">ἐστιν</span> <span class="sujet">ἡ ἡμέρα</span></span>· <sup>Β</sup><span class="bloc"><span class="attribut">καλαί</span> <span class="verbe">εἰσιν</span> <span class="sujet">αἱ ἡμέραι</span></span>.|<sup>Α</sup>La journée est belle&nbsp;; <sup>Β</sup>les journées sont belles.

5.4.2|Οὐκ ἀγαθὸν ὀργή.|<span class="verbe adv">Οὐκ</span> <span class="attribut">ἀγαθὸν</span> <span class="sujet">ὀργή</span>.|La colère n'est pas une bonne chose.

5.4.3|Μέγιστον ἀγρὸν ἔχει· μεγίστους ἀγροὺς ἔχουσιν.|<sup>Α</sup><span class="bloc"><span class="COD"><span class="adj">Μέγιστον</span> ἀγρὸν</span> <span class="verbe">ἔχει</span></span>· <sup>Β</sup><span class="bloc"><span class="COD"><span class="adj">μεγίστους</span> ἀγροὺς</span> <span class="verbe">ἔχουσιν</span></span>.|<sup>Α</sup>Il a un très grand champ&nbsp;; <sup>Β</sup>ils ont de très grands champs.

5.4.4|Καλὴ γλῶττά ἐστιν ἡ τῶν Ἀθηναίων γλῶττα καὶ ὑπὸ πολλῶν νέων φιλεῖται.|<sup>Α</sup><span class="bloc"><span class="attribut"><span class="adj">Καλὴ</span> γλῶττά</span> <span class="verbe">ἐστιν</span></span> <span class="sujet">ἡ <span class="CDN">τῶν Ἀθηναίων</span> γλῶττα</span> καὶ <sup>Β</sup><span class="bloc"><span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime"><span class="adj">πολλῶν</span> νέων</span></span> <span class="verbe">φιλεῖται</span><sub>-έ-εται / pass.</sub></span>.|<sup>Α</sup>La langue des Athéniens est une belle langue et <sup>Β</sup>elle est aimée de beaucoup de jeunes gens.

5.4.5|Τὰ τοῦ ἰατροῦ φάρμακα τὰς νόσους ἰᾶται· οἱ ἰατροὶ τὰς νόσους ἰῶνται.|<sup>Α</sup><span class="bloc"><span class="sujet">Τὰ <span class="CDN">τοῦ ἰατροῦ</span> φάρμακα</span><sub>[n.pl.]</sub> <span class="COD">τὰς νόσους</span> <span class="verbe">ἰᾶται</span><sub>-ά-εται / [3S]</sub></span>· <sup>Β</sup><span class="bloc"><span class="sujet">οἱ ἰατροὶ</span> <span class="COD">τὰς νόσους</span> <span class="verbe">ἰῶνται</span><sub>-ά-ονται</sub></span>.|<sup>Α</sup>Les remèdes du médecin guérissent les maladies&nbsp;; <sup>Β</sup>les médecins guérissent les maladies.

5.4.6|Αἱ τῶν ἀνθρώπων νόσοι ὑπὸ τῶν ἰατρῶν θεραπεύονται· τὰς νόσους ἰῶνται φαρμάκοις.|<sup>Α</sup><span class="bloc"><span class="sujet">Αἱ <span class="CDN">τῶν ἀνθρώπων</span> νόσοι</span> <span class="COI"><span class="préposition">ὑπὸ</span><sub>+gén.</sub> <span class="régime">τῶν ἰατρῶν</span></span> <span class="verbe">θεραπεύονται</span></span>· <sup>Β</sup><span class="bloc"><span class="COD">τὰς νόσους</span> <span class="verbe">ἰῶνται</span><sub>-ά-ονται</sub> <span class="COI">φαρμάκοις</span></span>.|<sup>Α</sup>Les maladies des hommes sont soignées par les médecins&nbsp;; <sup>Β</sup>ils guérissent les maladies par des remèdes.

